0:0.9971,1:0.0000,2:0.0000,3:0.0000,4:0.0000,5:0.0000,6:0.0000,7:0.0000,8:0.0000,9:0.0000,10:0.0000,11:0.0000,12:0.0000,13:0.0000,14:0.0000,15:0.0000,16:0.0000,17:0.0965,
0:0.9973,1:0.0000,2:0.0000,3:0.0000,4:0.0000,5:0.0000,6:0.0000,7:0.0000,8:0.0000,9:0.0000,10:0.0000,11:0.0000,12:0.0000,13:0.0000,14:0.0000,15:0.0000,16:0.0000,17:0.0898,
0:0.9977,1:0.0000,2:0.0000,3:0.0000,4:0.0000,5:0.0000,6:0.0000,7:0.0000,8:0.0000,9:0.0000,10:0.0000,11:0.0000,12:0.0000,13:0.0000,14:0.0000,15:0.0000,16:0.0000,17:0.0839,
0:0.9971,1:0.0011,2:0.0000,3:0.0000,4:0.0000,5:0.0000,6:0.0000,7:0.0000,8:0.0000,9:0.0000,10:0.0000,11:0.0000,12:0.0000,13:0.0000,14:0.0000,15:0.0000,16:0.0000,17:0.1191,
0:0.9956,1:0.0053,2:0.0000,3:0.0000,4:0.0000,5:0.0000,6:0.0000,7:0.0000,8:0.0000,9:0.0000,10:0.0000,11:0.0000,12:0.0000,13:0.0000,14:0.0000,15:0.0000,16:0.0000,17:0.1493,
0:0.9972,1:0.0064,2:0.0000,3:0.0000,4:0.0000,5:0.0000,6:0.0000,7:0.0000,8:0.0000,9:0.0000,10:0.0000,11:0.0000,12:0.0000,13:0.0000,14:0.0000,15:0.0000,16:0.0000,17:0.0839,
0:0.9971,1:0.0318,2:0.0000,3:0.0000,4:0.0000,5:0.0000,6:0.0000,7:0.0000,8:0.0000,9:0.0000,10:0.0000,11:0.0000,12:0.0000,13:0.0000,14:0.0000,15:0.0000,16:0.0000,17:0.0629,
0:0.9970,1:0.0191,2:0.0000,3:0.0000,4:0.0000,5:0.0000,6:0.0000,7:0.0000,8:0.0000,9:0.0000,10:0.0000,11:0.0000,12:0.0000,13:0.0000,14:0.0000,15:0.0000,16:0.0000,17:0.0948,
0:0.9966,1:0.0265,2:0.0000,3:0.0000,4:0.0000,5:0.0000,6:0.0000,7:0.0000,8:0.0000,9:0.0000,10:0.0000,11:0.0000,12:0.0000,13:0.0000,14:0.0000,15:0.0000,16:0.0000,17:0.0982,
0:0.9971,1:0.0085,2:0.0000,3:0.0000,4:0.0000,5:0.0000,6:0.0000,7:0.0000,8:0.0000,9:0.0000,10:0.0000,11:0.0000,12:0.0000,13:0.0000,14:0.0000,15:0.0000,16:0.0000,17:0.0772,
0:0.9972,1:0.0169,2:0.0000,3:0.0000,4:0.0000,5:0.0000,6:0.0000,7:0.0000,8:0.0000,9:0.0000,10:0.0000,11:0.0000,12:0.0000,13:0.0000,14:0.0000,15:0.0000,16:0.0000,17:0.0721,
0:0.9972,1:0.0085,2:0.0000,3:0.0000,4:0.0000,5:0.0000,6:0.0000,7:0.0000,8:0.0000,9:0.0000,10:0.0000,11:0.0000,12:0.0000,13:0.0000,14:0.0000,15:0.0000,16:0.0000,17:0.0831,
0:0.9966,1:0.0275,2:0.0000,3:0.0000,4:0.0000,5:0.0000,6:0.0000,7:0.0000,8:0.0000,9:0.0000,10:0.0000,11:0.0000,12:0.0000,13:0.0000,14:0.0000,15:0.0000,16:0.0000,17:0.1049,
0:0.9965,1:0.0222,2:0.0000,3:0.0000,4:0.0000,5:0.0000,6:0.0000,7:0.0000,8:0.0000,9:0.0000,10:0.0000,11:0.0000,12:0.0000,13:0.0000,14:0.0000,15:0.0000,16:0.0000,17:0.0982,
0:0.9961,1:0.0032,2:0.0000,3:0.0000,4:0.0000,5:0.0000,6:0.0000,7:0.0000,8:0.0000,9:0.0000,10:0.0000,11:0.0000,12:0.0000,13:0.0000,14:0.0000,15:0.0000,16:0.0000,17:0.1216,
